Top row: Eigenvealues.
Corresponding eigenvectors in columns below each eigenvalue.
-nan       22688.1          -nan          -nan       48805.6         27848          -nan       44455.6          -nan       33734.6          -nan          -nan       11240.4         17020          -nan       23418.4          -nan          -nan          -nan       53207.4          -nan          -nan          -nan       35174.9          -nan       16340.9       51455.7          -nan          -nan          -nan          -nan       53783.8          -nan          -nan       354.551          -nan          -nan       43242.4          -nan       246.376          -nan       15007.5          -nan          -nan          -nan          -nan       17706.9          -nan       34457.1          -nan          -nan          -nan          -nan       31544.1          -nan          -nan       55213.8       981.144          -nan       20521.1          -nan          -nan       19808.5          -nan          -nan       47799.9          -nan       40688.5          -nan         52892       37295.1          -nan          -nan       14354.2          -nan       35887.5          -nan          -nan       40026.1          -nan          -nan         52559          -nan          -nan       11841.3       157.764          -nan       39355.1       27106.7          -nan       26365.9          -nan          -nan       24887.9          -nan          -nan       30808.1       39.4691       88.7792          -nan          -nan          -nan          -nan       55341.4       1185.71       21961.4          -nan       37989.1          -nan          -nan          -nan       29330.1          -nan          -nan          -nan       30069.9          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
     -0.125602    -0.0660925     0.0908239      0.113884    -0.0308973     -0.130143    -0.0375845      0.110366     0.0956594    -0.0600291     -0.127247   -0.00692893      0.123601     0.0719684    -0.0857309      -0.11708     0.0241225      0.129774     0.0441651     -0.106534     -0.100224     0.0537956      0.128531     0.0138382      -0.12125    -0.0776404     0.0803949      0.119945    -0.0172794     -0.129037    -0.0506206        0.1024      0.104504    -0.0474097     -0.129451    -0.0207083      0.118555     0.0830923    -0.0748309     -0.122469     0.0103873      0.127935     0.0569326    -0.0979764     -0.108488     0.0408893      0.130004     0.0275197     -0.115523    -0.0883087     0.0690549      0.124646   -0.00346569     -0.126469    -0.0630832     0.0932747      0.112165     -0.034253     -0.130189     -0.034253      0.112165     0.0932747    -0.0630831     -0.126469    -0.0034657      0.124646     0.0690549    -0.0883087     -0.115523     0.0275197      0.130004     0.0408893     -0.108488    -0.0979764     0.0569326      0.127935     0.0103873     -0.122469    -0.0748309     0.0830923      0.118555    -0.0207083     -0.129451    -0.0474097      0.104504        0.1024    -0.0506206     -0.129037    -0.0172794      0.119945     0.0803949    -0.0776404      -0.12125     0.0138382      0.128531     0.0537956     -0.100224     -0.106534     0.0441651      0.129774     0.0241225      -0.11708    -0.0857309     0.0719684      0.123601   -0.00692894     -0.127247    -0.0600291     0.0956594      0.110366    -0.0375845     -0.130143    -0.0308973      0.113884     0.0908239    -0.0660925     -0.125602
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
      0.124646     0.0719684    -0.0830923     -0.119945     0.0138382      0.127935     0.0600291    -0.0932747     -0.113884     0.0275197      0.129774     0.0474097       -0.1024     -0.106534     0.0408893      0.130143      0.034253     -0.110366    -0.0979764     0.0537956      0.129037     0.0207083      -0.11708    -0.0883087     0.0660924      0.126469    0.00692895     -0.122469    -0.0776404     0.0776404      0.122469   -0.00692892     -0.126469    -0.0660925     0.0883087       0.11708    -0.0207083     -0.129037    -0.0537957     0.0979764      0.110366     -0.034253     -0.130143    -0.0408893      0.106534        0.1024    -0.0474097     -0.129774    -0.0275197      0.113884     0.0932747    -0.0600291     -0.127935    -0.0138382      0.119945     0.0830923    -0.0719684     -0.124646   1.89714e-09      0.124646     0.0719684    -0.0830923     -0.119945     0.0138382      0.127935     0.0600291    -0.0932747     -0.113884     0.0275197      0.129774     0.0474097       -0.1024     -0.106534     0.0408893      0.130143      0.034253     -0.110366    -0.0979764     0.0537957      0.129037     0.0207083      -0.11708    -0.0883087     0.0660925      0.126469    0.00692892     -0.122469    -0.0776404     0.0776404      0.122469   -0.00692895     -0.126469    -0.0660924     0.0883087       0.11708    -0.0207083     -0.129037    -0.0537956     0.0979764      0.110366     -0.034253     -0.130143    -0.0408893      0.106534        0.1024    -0.0474097     -0.129774    -0.0275197      0.113884     0.0932747    -0.0600291     -0.127935    -0.0138382      0.119945     0.0830923    -0.0719684     -0.124646
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
    -0.0908239      0.130143    -0.0956594    0.00692894     0.0857309     -0.129774      0.100224    -0.0138382    -0.0803949      0.129037     -0.104504     0.0207083     0.0748309     -0.127935      0.108488    -0.0275197    -0.0690549      0.126469     -0.112165      0.034253     0.0630832     -0.124646      0.115523    -0.0408893    -0.0569326      0.122469     -0.118555     0.0474097     0.0506206     -0.119945       0.12125    -0.0537956    -0.0441651       0.11708     -0.123601     0.0600291     0.0375845     -0.113884      0.125602    -0.0660925    -0.0308973      0.110366     -0.127247     0.0719684     0.0241225     -0.106534      0.128531    -0.0776404    -0.0172794        0.1024     -0.129451     0.0830923     0.0103873    -0.0979764      0.130004    -0.0883087   -0.00346569     0.0932747     -0.130189     0.0932747   -0.00346569    -0.0883087      0.130004    -0.0979764     0.0103873     0.0830923     -0.129451        0.1024    -0.0172794    -0.0776404      0.128531     -0.106534     0.0241225     0.0719684     -0.127247      0.110366    -0.0308973    -0.0660924      0.125602     -0.113884     0.0375845     0.0600291     -0.123601       0.11708    -0.0441651    -0.0537956       0.12125     -0.119945     0.0506206     0.0474097     -0.118555      0.122469    -0.0569326    -0.0408893      0.115523     -0.124646     0.0630831      0.034253     -0.112165      0.126469    -0.0690549    -0.0275197      0.108488     -0.127935     0.0748309     0.0207083     -0.104504      0.129037    -0.0803949    -0.0138382      0.100224     -0.129774     0.0857309    0.00692893    -0.0956594      0.130143    -0.0908239
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
      0.115523     -0.106534    -0.0172794      0.122469    -0.0956595     -0.034253      0.127247    -0.0830923    -0.0506206      0.129774    -0.0690549    -0.0660925      0.130004    -0.0537956    -0.0803949      0.127935    -0.0375845    -0.0932747      0.123601    -0.0207083     -0.104504       0.11708    -0.0034657     -0.113884      0.108488     0.0138382      -0.12125     0.0979764     0.0308973     -0.126469     0.0857309     0.0474097     -0.129451     0.0719684     0.0630831     -0.130143     0.0569326     0.0776404     -0.128531     0.0408893     0.0908239     -0.124646     0.0241225        0.1024     -0.118555    0.00692894      0.112165     -0.110366    -0.0103873      0.119945     -0.100224    -0.0275197      0.125602    -0.0883087    -0.0441651      0.129037    -0.0748309    -0.0600291      0.130189    -0.0600291    -0.0748309      0.129037    -0.0441651    -0.0883087      0.125602    -0.0275197     -0.100224      0.119945    -0.0103873     -0.110366      0.112165    0.00692895     -0.118555        0.1024     0.0241225     -0.124646     0.0908239     0.0408893     -0.128531     0.0776404     0.0569326     -0.130143     0.0630832     0.0719684     -0.129451     0.0474097     0.0857309     -0.126469     0.0308973     0.0979764      -0.12125     0.0138382      0.108488     -0.113884    -0.0034657       0.11708     -0.104504    -0.0207083      0.123601    -0.0932747    -0.0375845      0.127935    -0.0803949    -0.0537957      0.130004    -0.0660925    -0.0690549      0.129774    -0.0506206    -0.0830923      0.127247     -0.034253    -0.0956594      0.122469    -0.0172794     -0.106534      0.115523
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
     0.0569326       -0.1024      0.127247     -0.126469      0.100224    -0.0537957   -0.00346569     0.0600291     -0.104504      0.127935     -0.125602     0.0979764    -0.0506206   -0.00692894     0.0630831     -0.106534      0.128531     -0.124646     0.0956594    -0.0474097    -0.0103873     0.0660925     -0.108488      0.129037     -0.123601     0.0932747    -0.0441651    -0.0138382     0.0690549     -0.110366      0.129451     -0.122469     0.0908239    -0.0408893    -0.0172794     0.0719684     -0.112165      0.129774      -0.12125     0.0883087    -0.0375845    -0.0207083     0.0748309     -0.113884      0.130004     -0.119945     0.0857309     -0.034253    -0.0241225     0.0776404     -0.115523      0.130143     -0.118555     0.0830923    -0.0308973    -0.0275197     0.0803949      -0.11708      0.130189      -0.11708     0.0803949    -0.0275197    -0.0308973     0.0830923     -0.118555      0.130143     -0.115523     0.0776404    -0.0241225     -0.034253     0.0857309     -0.119945      0.130004     -0.113884     0.0748309    -0.0207083    -0.0375845     0.0883087      -0.12125      0.129774     -0.112165     0.0719684    -0.0172794    -0.0408893     0.0908239     -0.122469      0.129451     -0.110366     0.0690549    -0.0138382    -0.0441651     0.0932747     -0.123601      0.129037     -0.108488     0.0660925    -0.0103873    -0.0474097     0.0956594     -0.124646      0.128531     -0.106534     0.0630832   -0.00692894    -0.0506206     0.0979764     -0.125602      0.127935     -0.104504     0.0600291   -0.00346569    -0.0537956      0.100224     -0.126469      0.127247       -0.1024     0.0569326
      0.122469    -0.0830923    -0.0660925      0.127935    -0.0207083     -0.113884     0.0979764     0.0474097     -0.130143     0.0408893        0.1024     -0.110366    -0.0275197      0.129037    -0.0600291    -0.0883087      0.119945    0.00692894     -0.124646     0.0776404     0.0719684     -0.126469     0.0138382       0.11708    -0.0932747    -0.0537956      0.129774     -0.034253     -0.106534      0.106534      0.034253     -0.129774     0.0537956     0.0932747      -0.11708    -0.0138382      0.126469    -0.0719684    -0.0776404      0.124646   -0.00692893     -0.119945     0.0883087     0.0600291     -0.129037     0.0275197      0.110366       -0.1024    -0.0408893      0.130143    -0.0474097    -0.0979764      0.113884     0.0207083     -0.127935     0.0660925     0.0830923     -0.122469   3.90218e-09      0.122469    -0.0830923    -0.0660925      0.127935    -0.0207083     -0.113884     0.0979764     0.0474097     -0.130143     0.0408893        0.1024     -0.110366    -0.0275197      0.129037    -0.0600291    -0.0883087      0.119945    0.00692893     -0.124646     0.0776404     0.0719684     -0.126469     0.0138382       0.11708    -0.0932747    -0.0537956      0.129774     -0.034253     -0.106534      0.106534      0.034253     -0.129774     0.0537956     0.0932747      -0.11708    -0.0138382      0.126469    -0.0719684    -0.0776404      0.124646   -0.00692894     -0.119945     0.0883087     0.0600291     -0.129037     0.0275197      0.110366       -0.1024    -0.0408893      0.130143    -0.0474097    -0.0979764      0.113884     0.0207083     -0.127935     0.0660925     0.0830923     -0.122469
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
     -0.113884     -0.110366    0.00692894       0.11708      0.106534    -0.0138382     -0.119945       -0.1024     0.0207083      0.122469     0.0979764    -0.0275197     -0.124646    -0.0932747      0.034253      0.126469     0.0883087    -0.0408893     -0.127935    -0.0830923     0.0474097      0.129037     0.0776404    -0.0537956     -0.129774    -0.0719684     0.0600291      0.130143     0.0660925    -0.0660925     -0.130143    -0.0600291     0.0719684      0.129774     0.0537956    -0.0776404     -0.129037    -0.0474097     0.0830923      0.127935     0.0408893    -0.0883087     -0.126469     -0.034253     0.0932747      0.124646     0.0275197    -0.0979764     -0.122469    -0.0207083        0.1024      0.119945     0.0138382     -0.106534      -0.11708   -0.00692893      0.110366      0.113884   3.39213e-09     -0.113884     -0.110366    0.00692894       0.11708      0.106534    -0.0138382     -0.119945       -0.1024     0.0207083      0.122469     0.0979764    -0.0275197     -0.124646    -0.0932747      0.034253      0.126469     0.0883087    -0.0408893     -0.127935    -0.0830923     0.0474097      0.129037     0.0776404    -0.0537956     -0.129774    -0.0719684     0.0600291      0.130143     0.0660924    -0.0660925     -0.130143    -0.0600291     0.0719684      0.129774     0.0537956    -0.0776404     -0.129037    -0.0474097     0.0830923      0.127935     0.0408893    -0.0883087     -0.126469     -0.034253     0.0932747      0.124646     0.0275197    -0.0979764     -0.122469    -0.0207083        0.1024      0.119945     0.0138382     -0.106534      -0.11708   -0.00692894      0.110366      0.113884
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
     -0.124646     0.0719684     0.0830923     -0.119945    -0.0138382      0.127935    -0.0600291    -0.0932747      0.113884     0.0275197     -0.129774     0.0474097        0.1024     -0.106534    -0.0408893      0.130143     -0.034253     -0.110366     0.0979764     0.0537957     -0.129037     0.0207083       0.11708    -0.0883087    -0.0660925      0.126469   -0.00692893     -0.122469     0.0776404     0.0776404     -0.122469   -0.00692895      0.126469    -0.0660924    -0.0883087       0.11708     0.0207083     -0.129037     0.0537956     0.0979764     -0.110366    -0.0342531      0.130143    -0.0408893     -0.106534        0.1024     0.0474097     -0.129774     0.0275197      0.113884    -0.0932747    -0.0600291      0.127935    -0.0138382     -0.119945     0.0830923     0.0719684     -0.124646  -6.56566e-09      0.124646    -0.0719684    -0.0830923      0.119945     0.0138382     -0.127935     0.0600291     0.0932747     -0.113884    -0.0275197      0.129774    -0.0474097       -0.1024      0.106534     0.0408893     -0.130143      0.034253      0.110366    -0.0979764    -0.0537957      0.129037    -0.0207083      -0.11708     0.0883087     0.0660925     -0.126469    0.00692894      0.122469    -0.0776404    -0.0776404      0.122469    0.00692894     -0.126469     0.0660925     0.0883087      -0.11708    -0.0207083      0.129037    -0.0537956    -0.0979764      0.110366      0.034253     -0.130143     0.0408893      0.106534       -0.1024    -0.0474097      0.129774    -0.0275197     -0.113884     0.0932747     0.0600291     -0.127935     0.0138382      0.119945    -0.0830923    -0.0719684      0.124646
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
      -0.11708        0.1024     0.0275197     -0.126469     0.0830923     0.0537957     -0.130143     0.0600291     0.0776404     -0.127935      0.034253     0.0979764     -0.119945    0.00692894      0.113884     -0.106534    -0.0207083      0.124646    -0.0883087    -0.0474097      0.129774    -0.0660925    -0.0719684      0.129037    -0.0408893    -0.0932747      0.122469    -0.0138382     -0.110366      0.110366     0.0138382     -0.122469     0.0932747     0.0408893     -0.129037     0.0719684     0.0660925     -0.129774     0.0474096     0.0883087     -0.124646     0.0207083      0.106534     -0.113884   -0.00692894      0.119945    -0.0979763     -0.034253      0.127935    -0.0776404    -0.0600291      0.130143    -0.0537956    -0.0830923      0.126469    -0.0275197       -0.1024       0.11708   9.46811e-09      -0.11708        0.1024     0.0275197     -0.126469     0.0830923     0.0537957     -0.130143     0.0600291     0.0776404     -0.127935      0.034253     0.0979764     -0.119945    0.00692894      0.113884     -0.106534    -0.0207083      0.124646    -0.0883087    -0.0474097      0.129774    -0.0660925    -0.0719684      0.129037    -0.0408893    -0.0932747      0.122469    -0.0138383     -0.110366      0.110366     0.0138382     -0.122469     0.0932747     0.0408893     -0.129037     0.0719685     0.0660924     -0.129774     0.0474097     0.0883087     -0.124646     0.0207083      0.106534     -0.113884   -0.00692892      0.119945    -0.0979764     -0.034253      0.127935    -0.0776404    -0.0600291      0.130143    -0.0537956    -0.0830923      0.126469    -0.0275197       -0.1024       0.11708
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
